@relation 148141-regression.txt

@attribute dissim numeric
@attribute el0 numeric
@attribute el1 numeric
@attribute el2 numeric
@attribute el3 numeric
@attribute el4 numeric
@attribute el5 numeric
@attribute el6 numeric
@attribute el7 numeric
@attribute el8 numeric
@attribute el9 numeric
@attribute el10 numeric
@attribute el11 numeric
@attribute el12 numeric
@attribute el13 numeric
@attribute el14 numeric
@attribute el15 numeric
@attribute max_el numeric
@attribute diff numeric
@attribute diffplus numeric
@attribute diffminus numeric
@attribute std numeric
@attribute diff/std**0.2 numeric
@attribute diff/std**0.6 numeric
@attribute diff/std**1 numeric
@attribute diff/std**1.4 numeric
@attribute diff/std**2 numeric
@attribute maxmiddle numeric
@attribute similarwindow_4.0 numeric
@attribute similarwindow_4.1 numeric
@attribute similarwindow_4.2 numeric
@attribute similarwindow_4.3 numeric
@attribute stat0 numeric
@attribute stat1 numeric
@attribute stat2 numeric
@attribute stat3 numeric
@attribute stat4 numeric
@attribute stat5 numeric
@attribute stat6 numeric
@attribute stat7 numeric
@attribute stat8 numeric
@attribute stat9 numeric
@attribute stat10 numeric
@attribute stat11 numeric
@attribute stat12 numeric
@attribute stat13 numeric
@attribute stat14 numeric
@attribute stat15 numeric
@attribute stat16 numeric
@attribute stat17 numeric
@attribute stat18 numeric
@attribute stat19 numeric
@attribute stat20 numeric
@attribute stat21 numeric
@attribute stat22 numeric
@attribute stat23 numeric
@attribute stat24 numeric
@attribute stat25 numeric
@attribute stat26 numeric
@attribute stat27 numeric
@attribute stat28 numeric
@attribute stat29 numeric
@attribute stat30 numeric
@attribute stat31 numeric
@attribute stat32 numeric
@attribute stat33 numeric
@attribute stat34 numeric
@attribute stat35 numeric
@attribute stat36 numeric
@attribute stat37 numeric
@attribute stat38 numeric
@attribute stat39 numeric
@attribute stat40 numeric
@attribute stat41 numeric
@attribute stat42 numeric
@attribute stat43 numeric
@attribute stat44 numeric
@attribute class numeric

@data
0.012962,0.044036,0.15966,0.15303,0.018605,0.049106,0.033493,0.073409,0.21646,0.30984,0.30926,0.10933,0.006492,0.004419,0.009919,0.004427,0.009458,0.30984,0.1675,0.09402,-0.073476,0.039852,0.20095,0.28889,0.41,0.55656,0.64715,0.375,0.21527,0.52732,0.7082,0.75452,0.016049,0.05004,0.061101,0.009873,0.026649,0.019449,0.027241,0.11518,0.16721,0.16693,0.058116,0.001076,0.002839,0.002747,0.002145,0.004641,0.2352,0.29308,0.25681,0.26566,0.14074,0.072759,-0.06537,0.14063,0.11334,0.04344,0.034333,0.13723,0.11989,0.11965,0.13848,-0.10204,-0.032034,0.12545,0.004833,-0.021914,0.38525,0.17911,0.28176,0.27019,0.11606,-0.013406,0.040795,0.031475,1.6465,623
0.012004,0.07987,0.087703,0.13292,0.21099,0.040679,0.13363,0.11683,0.18009,0.20531,0.2145,0.048303,0.010165,0.011578,0.008405,0.011395,0.012354,0.2145,0.16608,0.091889,-0.07419,0.041206,0.19793,0.28081,0.3935,0.52867,0.61559,0.3125,0.19353,0.77183,0.81523,0.82818,0.026389,0.028515,0.036627,0.08462,0.021595,0.067591,0.062714,0.097908,0.11269,0.11828,0.023675,0.005431,0.005963,0.004596,0.001592,0.006595,0.2489,0.28053,0.25929,0.26615,-0.067391,0.023856,0.14128,0.009701,0.14014,0.14136,0.12638,0.082779,0.052706,0.017698,0.12843,0.132,-0.049167,0.07023,-0.13503,0.13319,0.12293,-0.01191,0.11921,0.074662,-0.012739,-0.039585,-0.004932,-0.02515,1.8828,446
0.013564,0.064155,0.084696,0.088414,0.075416,0.11581,0.11976,0.16113,0.24568,0.29949,0.22634,0.12825,0.009168,0.018964,0.010953,0.007544,0.010055,0.29949,0.16083,0.060579,-0.10025,0.04159,0.19131,0.27043,0.37762,0.50586,0.58917,0.4375,0.15196,0.69825,0.83434,0.83283,0.052566,0.038333,0.033215,0.008967,0.038608,0.077163,0.10101,0.13642,0.15934,0.13066,0.068349,0.006383,0.005709,0.003097,0.002744,0.003322,0.287,0.32102,0.27299,0.29618,-0.09777,0.063922,-0.034447,-0.099984,0.004717,-0.11895,-0.14016,0.087634,0.13737,0.048848,0.13521,-0.073162,-0.05905,0.12121,0.004646,0.058224,-0.094104,-0.061318,-0.03135,-0.05373,-0.046792,-0.042112,-0.039256,-0.042109,1.7526,455
0.009128,0.055954,0.02898,0.027294,0.1865,0.040006,0.087509,0.096655,0.21374,0.11771,0.031465,0.012023,0.006268,0.010122,0.005285,0.009851,0.003167,0.21374,0.12426,0.072814,-0.051446,0.025693,0.16273,0.27832,0.46551,0.71287,0.74849,0.3125,0.19059,0.20991,0.47782,0.55939,0.034857,0.014501,0.014724,0.10132,0.022601,0.049873,0.066258,0.12286,0.065564,0.016707,0.000821,0.002672,0.004071,0.000659,0.001995,0.002843,0.23418,0.26781,0.22998,0.24644,-0.012169,0.04536,0.12034,0.11208,0.069691,0.061016,-0.091422,0.052777,0.084357,0.13985,0.06767,0.12909,0.096848,0.095385,-0.062936,-0.13318,0.40621,0.22225,0.30777,0.30426,0.12403,0.021179,0.069302,0.061765,1.6222,322
0.00782,0.044283,0.066549,0.026646,0.084546,0.021131,0.065028,0.069865,0.21324,0.12363,0.025294,0.12621,0.009143,0.011863,0.007927,0.012097,0.003595,0.21324,0.082882,0.03623,-0.046651,0.022471,0.11148,0.20103,0.35312,0.55703,0.55072,0.32812,0.15539,0.20991,0.45744,0.53866,0.025498,0.036925,0.01561,0.034444,0.010814,0.032135,0.049712,0.11803,0.067446,0.01414,0.032556,0.00322,0.001583,0.002472,0.004176,0.001378,0.23747,0.26218,0.23107,0.24454,0.051218,0.12181,0.035595,-0.13055,0.10422,0.046766,-0.12743,0.091104,0.10723,0.080497,0.14058,-0.052383,-0.13028,-0.054289,-0.058474,0.14103,0.28946,0.25709,0.36047,0.30002,0.059284,0.038554,0.10738,0.064865,1.714,390
0.017828,0.049163,0.19628,0.1907,0.29396,0.26951,0.24902,0.26384,0.24113,0.18461,0.17088,0.1775,0.019013,0.008906,0.01204,0.006078,0.008972,0.29396,0.30536,0.15872,-0.14663,0.06264,0.33472,0.40217,0.47982,0.56067,0.62016,0.34375,0.17787,1.114,1.3665,1.1781,0.027278,0.10712,0.1042,0.16067,0.14514,0.13232,0.13998,0.12788,0.097946,0.090663,0.081274,0.010783,0.003295,0.00242,0.002983,0.005476,0.23212,0.36993,0.26025,0.30193,-0.13016,0.10679,0.10539,0.10508,0.12244,0.13897,0.14089,0.1414,0.14091,0.14083,-0.11859,0.065814,-0.055956,0.079571,-0.11871,0.039913,-0.023621,-0.011395,-0.00051,0.046868,-0.049588,-0.053526,-0.051321,-0.037843,2.0468,3056
0.010813,0.035972,0.047717,0.065672,0.12893,0.0768,0.1512,0.18535,0.25495,0.22048,0.13639,0.071055,0.004791,0.014748,0.008353,0.005544,0.005099,0.25495,0.18894,0.10768,-0.081263,0.035502,0.23197,0.34912,0.51762,0.72744,0.83588,0.39062,0.15905,0.71472,0.90583,0.95346,0.012805,0.021645,0.036958,0.076148,0.041444,0.080421,0.09875,0.1431,0.12231,0.073015,0.038356,0.001057,0.004166,0.002896,0.003843,0.001099,0.27986,0.31233,0.2832,0.29569,0.13387,0.13033,-0.090981,0.028559,0.11997,0.13773,0.13563,0.076307,0.088655,0.12966,0.1196,0.12553,0.11537,0.067181,0.13725,0.12099,0.22403,0.049003,0.17555,0.14339,0.009359,-0.039154,-0.006611,-0.020102,1.9071,461
0.005586,0.033794,0.036879,0.076795,0.028828,0.020884,0.055547,0.043612,0.17674,0.019685,0.015445,0.008602,0.00346,0.007159,0.011544,0.004074,0.004077,0.17674,0.059564,0.028309,-0.031255,0.017029,0.084678,0.17033,0.33038,0.54646,0.46174,0.42188,0.13604,0.20902,0.14803,0.14464,0.018886,0.019932,0.037176,0.016022,0.008403,0.015434,0.023722,0.095523,0.010382,0.005886,0.004621,0.001821,0.001668,0.003604,0.001766,0.000653,0.31371,0.32634,0.30544,0.31557,0.080785,0.11811,-0.055065,0.086624,-0.1414,0.06372,0.11065,0.11813,0.059355,0.07392,0.12528,-0.13171,-0.078144,0.13976,0.11115,0.05282,0.30675,0.27165,0.30744,0.29486,0.025434,0.012494,0.028991,0.021988,1.3203,318
0.021378,0.14219,0.096695,0.32982,0.376,0.26466,0.14073,0.13812,0.22409,0.2396,0.31796,0.1603,0.007941,0.004733,0.008401,0.013693,0.011577,0.376,0.32772,0.20978,-0.11794,0.069171,0.35219,0.40682,0.46703,0.52688,0.56654,0.17188,0.14864,0.46058,0.55805,0.76127,0.04248,0.054192,0.18153,0.21246,0.14658,0.097797,0.10899,0.15013,0.13902,0.18359,0.093982,0.004311,0.00287,0.003446,0.007262,0.002885,0.13697,0.30763,0.19547,0.24054,0.048547,0.077848,0.097263,0.06951,0.090419,-0.072347,-0.11342,-0.05525,0.044205,0.048651,0.034933,0.11278,-0.13508,-0.026972,0.14139,0.12643,0.13889,0.067497,0.024142,0.17646,-0.018219,-0.036668,-0.037017,0.006527,1.9501,1233
0.014145,0.092905,0.12338,0.064655,0.12637,0.12304,0.21169,0.27943,0.24601,0.15889,0.1394,0.15484,0.005775,0.013925,0.004499,0.009233,0.008431,0.27943,0.2077,0.10791,-0.099781,0.047177,0.24092,0.32395,0.43111,0.55468,0.64388,0.375,0.22414,0.69874,0.87526,0.82438,0.04963,0.043826,0.037617,0.067022,0.065782,0.12272,0.14826,0.1315,0.085567,0.073747,0.082294,0.003003,0.004124,0.001121,0.000928,0.003825,0.31632,0.39403,0.32503,0.34991,-0.054857,-0.048274,0.041688,0.14136,0.13127,0.044983,0.14081,0.13153,0.12241,0.099602,0.11963,-0.12178,-0.080269,0.11827,-0.10979,0.13377,-0.028342,-0.054857,-0.040425,-0.027722,-0.054304,-0.057697,-0.057463,-0.054807,1.8761,412
0.015074,0.051732,0.095453,0.30202,0.38044,0.049009,0.013435,0.011386,0.00959,0.032487,0.02404,0.023151,0.005448,0.023783,0.021025,0.015539,0.01769,0.38044,0.11209,0.080778,-0.031315,0.029896,0.14242,0.22943,0.36281,0.5349,0.59191,0.45312,0.058973,0.17529,0.22136,0.31815,0.023801,0.050737,0.18777,0.24246,0.01949,0.002928,0.005506,0.00419,0.017589,0.013295,0.008808,0.002047,0.012748,0.007638,0.002161,0.005293,0.14444,0.29055,0.24634,0.2373,-0.014122,0.13853,-0.010807,-0.13349,-0.095028,-0.10495,-0.094093,0.066979,0.11605,0.091997,0.13676,0.024371,0.12813,0.028945,-0.11694,-0.1038,0.29172,0.37313,0.35663,0.42005,0.026858,0.065114,0.056039,0.11496,1.1126,466.5
0.022858,0.057516,0.072121,0.081942,0.27245,0.33076,0.309,0.29388,0.35934,0.30076,0.27033,0.2601,0.14533,0.005962,0.008034,0.008996,0.008285,0.35934,0.379,0.2144,-0.1646,0.084608,0.39124,0.41714,0.44271,0.46418,0.46454,0.28125,0.34448,0.93201,1.0157,0.93446,0.002858,0.038343,0.050323,0.16063,0.19767,0.18644,0.15844,0.19755,0.16055,0.14311,0.1389,0.07854,0.000939,0.00123,0.00356,0.003113,0.28074,0.36214,0.31353,0.33331,-0.13059,0.13828,-0.003294,0.030109,0.018804,0.011238,0.12111,0.09855,0.13315,0.13849,0.13265,0.073796,-0.1387,0.11621,-0.044315,-0.11302,0.13186,-0.1023,0.035588,0.026265,-0.011272,-0.0445,-0.042885,-0.045248,2.0294,544.5
0.012721,0.078743,0.13913,0.16765,0.1731,0.139,0.16894,0.23804,0.23715,0.16043,0.071529,0.11819,0.005781,0.010476,0.007739,0.004967,0.005814,0.23804,0.23278,0.1454,-0.087378,0.039888,0.27922,0.40128,0.5693,0.77259,0.89838,0.28125,0.13392,0.63738,0.6589,0.70842,0.041984,0.086341,0.10427,0.097235,0.076524,0.11028,0.13524,0.13407,0.088798,0.039468,0.062706,0.001697,0.004884,0.002644,0.002308,0.002381,0.22463,0.27862,0.25827,0.26162,-0.11619,-0.009542,-0.011084,0.075488,0.097007,-0.041336,0.064092,0.068968,0.091083,0.094487,0.14091,0.11122,-0.11341,-0.13615,0.09005,0.13643,0.38266,0.11419,0.29087,0.24215,0.094362,-0.018422,0.047832,0.019917,1.8971,367
0.012246,0.074196,0.11317,0.043148,0.25646,0.047968,0.18509,0.12383,0.26475,0.2019,0.041409,0.10706,0.005888,0.006717,0.00617,0.009195,0.008804,0.26475,0.19087,0.097087,-0.093784,0.03793,0.23126,0.33905,0.49029,0.67565,0.78268,0.26562,0.10239,0.57034,0.69699,0.72812,0.039678,0.036859,0.027124,0.13882,0.026762,0.098255,0.069716,0.14495,0.10724,0.021967,0.057416,0.0026,0.002864,0.002974,0.002824,0.002425,0.24022,0.28099,0.2327,0.256,0.13096,-0.027754,-0.14133,0.11636,0.08258,0.14018,0.073153,0.10311,0.13944,0.14105,0.11067,-0.12444,0.14142,-0.089252,-0.12102,0.12296,0.34739,0.15947,0.32718,0.26564,0.077491,-0.005417,0.074364,0.034757,1.7327,361.5
0.020367,0.1098,0.22956,0.24292,0.23283,0.23407,0.31063,0.36241,0.31867,0.21249,0.0995,0.14816,0.009475,0.01199,0.009202,0.012307,0.014613,0.36241,0.34046,0.21641,-0.12405,0.068314,0.3668,0.42579,0.49119,0.5566,0.6008,0.29688,0.3149,0.45658,0.9302,1.012,0.023227,0.13294,0.13592,0.14695,0.14303,0.17878,0.21978,0.18122,0.12364,0.055267,0.082533,0.005405,0.004973,0.002744,0.004529,0.004472,0.20474,0.32505,0.25386,0.27993,-0.13784,0.045916,0.079512,-0.020899,0.001578,0.05163,0.007309,0.063108,0.041649,0.08728,0.084191,0.008496,0.11657,-0.12675,0.091563,-0.013721,0.27475,-0.0547,0.063735,0.087293,0.078692,-0.053111,-0.02138,-0.033805,1.997,243.5
0.014675,0.083215,0.16331,0.21107,0.15293,0.19486,0.29759,0.29254,0.27833,0.21051,0.087294,0.15884,0.007451,0.016276,0.008268,0.006944,0.006001,0.29759,0.14042,0.043117,-0.0973,0.056347,0.15721,0.197,0.24486,0.29683,0.33633,0.79688,0.15566,0.16017,0.74451,0.82849,0.044355,0.032957,0.043693,0.071806,0.073437,0.09726,0.10141,0.079877,0.09738,0.017834,0.054924,0.004033,0.005497,0.00087,0.000628,0.003191,0.25421,0.29155,0.24147,0.26624,-0.066238,0.12138,-0.12333,0.12739,-0.067271,-0.13983,-0.049759,-0.055367,-0.048419,-0.11355,0.048135,0.11638,0.14058,0.10909,0.02276,0.13796,0.022334,0.03227,0.19237,0.081411,-0.033943,-0.037052,0.025538,-0.023309,1.8885,243
0.007876,0.12121,0.14017,0.17676,0.015901,0.077966,0.032819,0.11745,0.21286,0.030215,0.04938,0.022762,0.005189,0.00725,0.008811,0.004782,0.003795,0.21286,0.082662,0.037623,-0.045039,0.021787,0.11187,0.20422,0.36275,0.57582,0.56054,0.4375,0.15777,0.37301,0.42708,0.40396,0.05348,0.033268,0.049273,0.008428,0.0422,0.018056,0.070214,0.11344,0.016082,0.026606,0.01257,0.002604,0.003603,0.006397,0.000585,0.001598,0.2581,0.23137,0.22691,0.23979,0.072497,0.11742,0.049953,0.064984,0.11641,0.097744,0.018571,0.13524,0.13685,0.12183,0.093596,0.11599,-0.12173,-0.12457,-0.11324,0.14136,0.34233,0.23429,0.37274,0.31852,0.060487,0.008583,0.080981,0.050572,1.4889,430.5
