@relation InstanceResultListener

@attribute Key_Dataset {soybean}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 0.1 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 64\nSize of the tree: 96\n','Number of leaves: 62\nSize of the tree: 95\n','Number of leaves: 58\nSize of the tree: 88\n','Number of leaves: 58\nSize of the tree: 89\n','Number of leaves: 66\nSize of the tree: 101\n','Number of leaves: 55\nSize of the tree: 84\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 55\nSize of the tree: 86\n','Number of leaves: 54\nSize of the tree: 84\n','Number of leaves: 57\nSize of the tree: 87\n','Number of leaves: 67\nSize of the tree: 102\n','Number of leaves: 65\nSize of the tree: 99\n','Number of leaves: 54\nSize of the tree: 83\n','Number of leaves: 70\nSize of the tree: 107\n','Number of leaves: 61\nSize of the tree: 93\n','Number of leaves: 72\nSize of the tree: 106\n','Number of leaves: 59\nSize of the tree: 90\n','Number of leaves: 66\nSize of the tree: 98\n','Number of leaves: 58\nSize of the tree: 90\n','Number of leaves: 62\nSize of the tree: 96\n','Number of leaves: 56\nSize of the tree: 86\n','Number of leaves: 61\nSize of the tree: 92\n','Number of leaves: 53\nSize of the tree: 83\n','Number of leaves: 70\nSize of the tree: 104\n','Number of leaves: 57\nSize of the tree: 88\n','Number of leaves: 62\nSize of the tree: 93\n','Number of leaves: 71\nSize of the tree: 107\n','Number of leaves: 59\nSize of the tree: 91\n','Number of leaves: 70\nSize of the tree: 105\n','Number of leaves: 60\nSize of the tree: 93\n','Number of leaves: 53\nSize of the tree: 82\n','Number of leaves: 57\nSize of the tree: 89\n','Number of leaves: 74\nSize of the tree: 111\n','Number of leaves: 64\nSize of the tree: 97\n','Number of leaves: 56\nSize of the tree: 85\n','Number of leaves: 66\nSize of the tree: 100\n','Number of leaves: 62\nSize of the tree: 94\n','Number of leaves: 67\nSize of the tree: 103\n','Number of leaves: 56\nSize of the tree: 83\n','Number of leaves: 68\nSize of the tree: 102\n','Number of leaves: 71\nSize of the tree: 108\n','Number of leaves: 60\nSize of the tree: 91\n','Number of leaves: 66\nSize of the tree: 103\n','Number of leaves: 55\nSize of the tree: 83\n','Number of leaves: 74\nSize of the tree: 110\n','Number of leaves: 61\nSize of the tree: 95\n','Number of leaves: 74\nSize of the tree: 113\n','Number of leaves: 67\nSize of the tree: 101\n','Number of leaves: 60\nSize of the tree: 90\n','Number of leaves: 73\nSize of the tree: 110\n','Number of leaves: 61\nSize of the tree: 94\n','Number of leaves: 71\nSize of the tree: 104\n','Number of leaves: 57\nSize of the tree: 86\n','Number of leaves: 66\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 92\n','Number of leaves: 70\nSize of the tree: 106\n','Number of leaves: 63\nSize of the tree: 97\n','Number of leaves: 52\nSize of the tree: 80\n','Number of leaves: 77\nSize of the tree: 114\n','Number of leaves: 69\nSize of the tree: 102\n','Number of leaves: 59\nSize of the tree: 89\n','Number of leaves: 67\nSize of the tree: 100\n','Number of leaves: 73\nSize of the tree: 108\n','Number of leaves: 63\nSize of the tree: 98\n','Number of leaves: 64\nSize of the tree: 95\n','Number of leaves: 56\nSize of the tree: 88\n','Number of leaves: 56\nSize of the tree: 87\n','Number of leaves: 64\nSize of the tree: 98\n','Number of leaves: 73\nSize of the tree: 109\n','Number of leaves: 61\nSize of the tree: 96\n','Number of leaves: 63\nSize of the tree: 96\n','Number of leaves: 65\nSize of the tree: 98\n','Number of leaves: 54\nSize of the tree: 81\n','Number of leaves: 68\nSize of the tree: 101\n','Number of leaves: 68\nSize of the tree: 104\n','Number of leaves: 69\nSize of the tree: 104\n','Number of leaves: 72\nSize of the tree: 107\n','Number of leaves: 65\nSize of the tree: 97\n','Number of leaves: 70\nSize of the tree: 103\n','Number of leaves: 60\nSize of the tree: 92\n','Number of leaves: 72\nSize of the tree: 108\n','Number of leaves: 51\nSize of the tree: 79\n','Number of leaves: 67\nSize of the tree: 99\n','Number of leaves: 63\nSize of the tree: 95\n','Number of leaves: 68\nSize of the tree: 103\n','Number of leaves: 69\nSize of the tree: 105\n','Number of leaves: 75\nSize of the tree: 114\n','Number of leaves: 52\nSize of the tree: 81\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 69\nSize of the tree: 101\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 61\nSize of the tree: 91\n','Number of leaves: 63\nSize of the tree: 99\n','Number of leaves: 71\nSize of the tree: 105\n','Number of leaves: 54\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 77\n','Number of leaves: 51\nSize of the tree: 78\n','Number of leaves: 49\nSize of the tree: 76\n','Number of leaves: 58\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 78\n','Number of leaves: 48\nSize of the tree: 74\n','Number of leaves: 52\nSize of the tree: 79\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 66\nSize of the tree: 97\n','Number of leaves: 51\nSize of the tree: 76\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
soybean,17,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,63,6,0,91.304348,8.695652,0,0.904476,0.012791,0.085776,13.295152,39.110188,266.179335,2162.293753,-1896.114417,3.857672,31.337591,-27.479919,243.634819,3.530939,91.530328,1,2,0.014925,1,0.985075,66,0,0,0.666667,1,0.8,0.81038,0.992537,0.666667,0.913043,0.011594,0.988406,0.086957,0.921757,0.913043,0.90781,0.903098,0.982505,0.937852,0.914169,0.913043,0.003,0,0,0,0,0,60666,202240,29475,97.101449,8.009153,'Number of leaves: 62\nSize of the tree: 96\n',96,62,62
soybean,17,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,65,4,0,94.202899,5.797101,0,0.936435,0.012201,0.073058,12.681018,33.31029,266.200947,1089.448854,-823.247907,3.857985,15.789114,-11.931129,247.618297,3.588671,93.019315,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.942029,0.008696,0.991304,0.057971,?,0.942029,?,?,0.990217,0.961673,?,0.942029,0.003,0,0,0,0,0,57068,202240,29475,98.550725,9.305873,'Number of leaves: 59\nSize of the tree: 89\n',89,59,59
soybean,17,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.919317,0.012747,0.084328,13.262175,38.490917,260.270002,25.092573,235.177428,3.8275,0.369008,3.458492,240.15207,3.531648,92.270361,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.011216,0.988784,0.073529,0.930816,0.926471,0.926817,0.91684,0.991027,0.93504,0.969281,0.926471,0.002,0,0,0,0,0,58000,202557,29158,98.529412,8.513932,'Number of leaves: 59\nSize of the tree: 91\n',91,59,59
soybean,17,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,61,7,0,89.705882,10.294118,0,0.886748,0.016335,0.101054,17.011467,46.175503,259.229897,3242.143833,-2982.913936,3.812204,47.678586,-43.866381,229.678874,3.37763,88.600457,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.897059,0.010602,0.989398,0.102941,?,0.897059,?,?,0.970734,0.882858,?,0.897059,0.003,0,0,0,0,0,61934,202557,29158,95.588235,9.597523,'Number of leaves: 65\nSize of the tree: 98\n',98,65,65
soybean,17,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935192,0.011988,0.077971,12.482815,35.622775,259.937716,1091.56254,-831.624824,3.822613,16.05239,-12.229777,240.0414,3.530021,92.345737,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.009265,0.990735,0.058824,?,0.941176,?,?,0.988351,0.944809,?,0.941176,0.002,0,0,0,0,0,55334,202557,29158,98.529412,9.210526,'Number of leaves: 56\nSize of the tree: 86\n',86,56,56
soybean,17,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935484,0.010761,0.068568,11.194519,31.293015,260.977821,16.883893,244.093928,3.837909,0.248293,3.589617,244.774115,3.599619,93.791156,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.006949,0.993051,0.058824,?,0.941176,?,?,0.997507,0.981967,?,0.941176,0.002,0.001,0,0,0,0,52780,202557,29158,100,8.359133,'Number of leaves: 54\nSize of the tree: 81\n',81,54,54
soybean,17,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,60,8,0,88.235294,11.764706,0,0.870384,0.015456,0.096303,16.078916,43.952925,260.757564,3237.118651,-2976.361087,3.83467,47.604686,-43.770016,233.366295,3.431857,89.495503,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.882353,0.017946,0.982054,0.117647,?,0.882353,?,?,0.969965,0.889225,?,0.882353,0.003,0,0,0,0,0,56956,202557,29158,95.588235,8.900929,'Number of leaves: 58\nSize of the tree: 89\n',89,58,58
soybean,17,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,60,8,0,88.235294,11.764706,0,0.870445,0.014888,0.088194,15.48864,40.252128,260.757564,1097.572715,-836.815151,3.83467,16.140775,-12.306105,232.080541,3.412949,89.00242,0.5,1,0,0,1,66,0.5,1,1,0.5,0.666667,0.70181,0.742424,0.514706,0.882353,0.014824,0.985176,0.117647,?,0.882353,?,?,0.988549,0.945817,?,0.882353,0.003,0,0,0,0,0,63668,202557,29158,97.058824,8.513932,'Number of leaves: 68\nSize of the tree: 101\n',101,68,68
soybean,17,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,59,9,0,86.764706,13.235294,0,0.855011,0.016174,0.100832,16.826176,46.020333,260.757564,3238.448836,-2977.691272,3.83467,47.624248,-43.789578,232.887682,3.424819,89.311957,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.867647,0.01527,0.98473,0.132353,0.881127,0.867647,0.869765,0.856436,0.97166,0.899641,0.906755,0.867647,0.002,0,0,0,0,0,66334,202557,29158,95.588235,8.281734,'Number of leaves: 71\nSize of the tree: 106\n',106,71,71
soybean,18,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,65,4,0,94.202899,5.797101,0,0.936625,0.011521,0.08008,11.981369,36.534426,264.835296,3230.184951,-2965.349655,3.838193,46.814275,-42.976082,245.235389,3.554136,92.599209,1,2,0.014925,1,0.985075,66,0,0,0.666667,1,0.8,0.81038,1,1,0.942029,0.004171,0.995829,0.057971,0.955556,0.942029,0.941314,0.940061,0.976271,0.938983,0.944174,0.942029,0.002,0,0,0,0,0,65066,202240,29475,95.652174,7.551487,'Number of leaves: 68\nSize of the tree: 104\n',104,68,68
soybean,18,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,63,6,0,91.304348,8.695652,0,0.904498,0.016044,0.098943,16.675661,45.11089,266.315242,4311.88346,-4045.568217,3.859641,62.491065,-58.631423,234.690285,3.401308,88.124992,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.913043,0.011302,0.988698,0.086957,?,0.913043,?,?,0.96303,0.877798,?,0.913043,0.002,0,0,0,0,0,55334,202240,29475,94.202899,9.382151,'Number of leaves: 56\nSize of the tree: 86\n',86,56,56
soybean,18,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,63,6,0,91.304348,8.695652,0,0.905133,0.012775,0.083624,13.277988,38.126677,266.315242,2161.894383,-1895.57914,3.859641,31.331803,-27.472161,246.835388,3.577324,92.685415,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.913043,0.009561,0.990439,0.086957,0.927536,0.913043,0.916063,0.907263,0.979952,0.925189,0.952485,0.913043,0.004,0,0,0,0,0,60200,202240,29475,97.101449,8.924485,'Number of leaves: 62\nSize of the tree: 95\n',95,62,62
soybean,18,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935423,0.011044,0.078583,11.490702,35.871925,260.123055,2160.285234,-1900.162179,3.825339,31.7689,-27.943561,242.306202,3.563326,93.150606,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.009265,0.990735,0.058824,0.942322,0.941176,0.938971,0.931618,0.980025,0.942329,0.975,0.941176,0.003,0,0,0,0,0,63444,202557,29158,97.058824,8.126935,'Number of leaves: 66\nSize of the tree: 101\n',101,66,66
soybean,18,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,61,7,0,89.705882,10.294118,0,0.886477,0.015144,0.101573,15.771551,46.415556,259.102322,3243.051229,-2983.948907,3.810328,47.69193,-43.881602,229.463046,3.374457,88.560783,0.5,1,0,0,1,66,0.5,1,1,0.5,0.666667,0.70181,0.75,0.514706,0.897059,0.014217,0.985783,0.102941,0.908679,0.897059,0.892563,0.885275,0.970434,0.891378,0.922383,0.897059,0.002,0,0,0,0,0,61934,202557,29158,94.117647,8.281734,'Number of leaves: 65\nSize of the tree: 98\n',98,65,65
soybean,18,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.91899,0.011667,0.074772,12.149075,34.162246,259.736831,1088.864529,-829.127697,3.819659,16.012714,-12.193054,239.767995,3.526,92.311896,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.008206,0.991794,0.073529,?,0.926471,?,?,0.991194,0.969424,?,0.926471,0.003,0,0,0,0,0,56956,202557,29158,98.529412,8.978328,'Number of leaves: 58\nSize of the tree: 89\n',89,58,58
soybean,18,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,62,6,0,91.176471,8.823529,0,0.90288,0.012666,0.087546,13.169343,39.930154,262.229177,2164.269077,-1902.0399,3.856311,31.827486,-27.971175,238.869589,3.512788,91.091919,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.911765,0.01346,0.98654,0.088235,?,0.911765,?,?,0.976623,0.925301,?,0.911765,0.003,0,0,0,0,0,65290,202557,29158,97.058824,8.204334,'Number of leaves: 70\nSize of the tree: 104\n',104,70,70
soybean,18,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.919067,0.013268,0.082951,13.802629,37.858166,260.863526,2162.723686,-1901.86016,3.836228,31.80476,-27.968532,237.899802,3.498526,91.197035,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.011216,0.988784,0.073529,?,0.926471,?,?,0.981929,0.93756,?,0.926471,0.003,0,0,0,0,0,55912,202557,29158,97.058824,8.978328,'Number of leaves: 57\nSize of the tree: 87\n',87,57,57
soybean,18,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,65,3,0,95.588235,4.411765,0,0.951613,0.009724,0.065726,10.115545,29.996697,260.863526,1085.211369,-824.347843,3.836228,15.958991,-12.122762,246.618605,3.626744,94.539321,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.955882,0.004706,0.995294,0.044118,?,0.955882,?,?,0.988036,0.955785,?,0.955882,0.002,0,0,0,0,0,54756,202557,29158,98.529412,8.204334,'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,18,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,61,7,0,89.705882,10.294118,0,0.886882,0.015481,0.096162,16.104334,43.887547,260.863526,2169.959428,-1909.095902,3.836228,31.911168,-28.07494,232.950192,3.425738,89.299641,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.897059,0.013905,0.986095,0.102941,?,0.897059,?,?,0.975863,0.903096,?,0.897059,0.003,0,0,0,0,0,54756,202557,29158,95.588235,8.513932,'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,19,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,65,4,0,94.202899,5.797101,0,0.936347,0.011987,0.073632,12.46634,33.592753,264.835296,21.601677,243.233619,3.838193,0.313068,3.525125,245.947826,3.564461,92.86822,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.942029,0.008696,0.991304,0.057971,?,0.942029,?,?,0.996256,0.969767,?,0.942029,0.003,0,0,0,0,0,54756,202240,29475,98.550725,9.000763,'Number of leaves: 55\nSize of the tree: 85\n',85,55,55
soybean,19,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,65,4,0,94.202899,5.797101,0,0.936288,0.013533,0.083396,14.073419,38.047149,264.835296,2166.189346,-1901.35405,3.838193,31.394048,-27.555856,242.197776,3.510113,91.452227,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.942029,0.008696,0.991304,0.057971,?,0.942029,?,?,0.979597,0.921321,?,0.942029,0.002,0.001,0,0,0,0,58000,202240,29475,95.652174,8.924485,'Number of leaves: 59\nSize of the tree: 91\n',91,59,59
soybean,19,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,59,10,0,85.507246,14.492754,0,0.840647,0.020148,0.115646,20.95277,52.760354,264.835296,5392.521543,-5127.686247,3.838193,78.152486,-74.314293,225.841531,3.273066,85.27622,0.5,1,0,0,1,67,0.5,1,1,0.5,0.666667,0.701888,0.746269,0.514493,0.855072,0.018257,0.981743,0.144928,?,0.855072,?,?,0.95382,0.869121,?,0.855072,0.002,0.001,0,0,0,0,63090,202240,29475,91.304348,7.932876,'Number of leaves: 67\nSize of the tree: 100\n',100,67,67
soybean,19,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,63,5,0,92.647059,7.352941,0,0.91899,0.012443,0.077262,12.953233,35.289765,258.684094,1090.619154,-831.93506,3.804178,16.038517,-12.234339,238.131453,3.501933,92.054927,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.926471,0.011216,0.988784,0.073529,0.930882,0.926471,0.924751,0.917114,0.987559,0.949857,0.951267,0.926471,0.003,0,0,0,0,0,56490,202557,29158,98.529412,8.900929,'Number of leaves: 58\nSize of the tree: 88\n',88,58,58
soybean,19,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.9353,0.011611,0.072522,12.093081,33.141125,258.988028,19.399895,239.588132,3.808647,0.285293,3.523355,239.672219,3.524591,92.541814,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.007468,0.992532,0.058824,0.946524,0.941176,0.941013,0.935189,0.996117,0.971088,0.954938,0.941176,0.002,0,0,0,0,0,60200,202557,29158,98.529412,8.668731,'Number of leaves: 62\nSize of the tree: 95\n',95,62,62
soybean,19,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,59,9,0,86.764706,13.235294,0,0.854008,0.017263,0.110954,17.977166,50.696409,259.695847,3251.421284,-2991.725437,3.819057,47.815019,-43.995962,222.428186,3.271003,85.649497,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.867647,0.018185,0.981815,0.132353,?,0.867647,?,?,0.964051,0.855773,?,0.867647,0.002,0,0,0,0,0,63090,202557,29158,94.117647,8.126935,'Number of leaves: 67\nSize of the tree: 100\n',100,67,67
soybean,19,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935652,0.011844,0.083403,12.313537,38.039272,262.343472,2162.801209,-1900.457737,3.857992,31.8059,-27.947908,241.490262,3.551327,92.05118,1,2,0.015152,1,0.984848,65,0,0,0.666667,1,0.8,0.810287,1,1,0.941176,0.005851,0.994149,0.058824,0.954367,0.941176,0.940213,0.938174,0.981594,0.933395,0.951144,0.941176,0.004,0,0,0,0,0,65066,202557,29158,97.058824,8.204334,'Number of leaves: 68\nSize of the tree: 104\n',104,68,68
soybean,19,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935453,0.010729,0.07265,11.154746,33.135093,262.343472,1087.219634,-824.876162,3.857992,15.988524,-12.130532,246.766648,3.628921,94.062431,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.007175,0.992825,0.058824,?,0.941176,?,?,0.988659,0.955378,?,0.941176,0.004,0,0,0,0,0,63444,202557,29158,98.529412,8.126935,'Number of leaves: 66\nSize of the tree: 101\n',101,66,66
soybean,19,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,65,3,0,95.588235,4.411765,0,0.951601,0.010007,0.056611,10.404041,25.819823,262.343472,12.734767,249.608705,3.857992,0.187276,3.670716,249.608705,3.670716,95.145766,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.955882,0.00673,0.99327,0.044118,0.959392,0.955882,0.953604,0.950107,0.998504,0.987299,0.967905,0.955882,0.002,0,0,0,0,0,53134,202557,29158,100,9.055728,'Number of leaves: 53\nSize of the tree: 82\n',82,53,53
soybean,19,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,62,6,0,91.176471,8.823529,0,0.90366,0.012077,0.085681,12.556693,39.078649,262.343472,1097.768521,-835.425049,3.857992,16.143655,-12.285662,239.544061,3.522707,91.309328,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.911765,0.008067,0.991933,0.088235,?,0.911765,?,?,0.986627,0.926824,?,0.911765,0.003,0,0,0,0,0,66800,202557,29158,97.058824,8.204334,'Number of leaves: 71\nSize of the tree: 107\n',107,71,71
soybean,20,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,62,7,0,89.855072,10.144928,0,0.888607,0.01661,0.102301,17.263382,46.642212,266.315242,3242.035461,-2975.720219,3.859641,46.986021,-43.12638,234.885223,3.404134,88.19819,1,2,0.014925,1,0.985075,66,0,0,0.666667,1,0.8,0.81038,0.992537,0.666667,0.898551,0.013476,0.986524,0.101449,0.915422,0.898551,0.891159,0.888843,0.964473,0.847166,0.906959,0.898551,0.005,0,0,0,0,0,59622,202240,29475,95.652174,8.695652,'Number of leaves: 61\nSize of the tree: 94\n',94,61,61
soybean,20,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,64,5,0,92.753623,7.246377,0,0.920598,0.011407,0.07657,11.855668,34.910299,266.315242,2166.033529,-1899.718287,3.859641,31.39179,-27.532149,244.538984,3.544043,91.823127,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.927536,0.007023,0.992977,0.072464,?,0.927536,?,?,0.98077,0.93742,?,0.927536,0.002,0,0,0,0,0,65178,202240,29475,95.652174,8.619375,'Number of leaves: 69\nSize of the tree: 104\n',104,69,69
soybean,20,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,614,69,68,1,0,98.550725,1.449275,0,0.984167,0.009282,0.051929,9.639284,23.652764,267.200068,11.919638,255.28043,3.872465,0.172748,3.699716,255.429308,3.701874,95.594777,1,2,0,0,1,67,0,0,1,1,1,1,1,1,0.985507,0.002174,0.997826,0.014493,0.986957,0.985507,0.985462,0.983799,0.998068,0.985973,0.994134,0.985507,0.002,0.001,0,0,0,0,55334,202240,29475,100,9.153318,'Number of leaves: 56\nSize of the tree: 86\n',86,56,56
soybean,20,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,62,6,0,91.176471,8.823529,0,0.903249,0.014654,0.089711,15.230504,40.901623,261.862647,3237.307434,-2975.444787,3.850921,47.607462,-43.756541,235.194102,3.458737,89.815827,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.911765,0.009864,0.990136,0.088235,0.909982,0.911765,0.90594,0.89977,0.973234,0.914047,0.899828,0.911765,0.002,0.001,0,0,0,0,54290,202557,29158,95.588235,9.055728,'Number of leaves: 55\nSize of the tree: 84\n',84,55,55
soybean,20,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20240420.1606,615,68,64,4,0,94.117647,5.882353,0,0.935361,0.011414,0.073712,11.874276,33.641728,260.863526,1089.830695,-828.967169,3.836228,16.026922,-12.190694,241.492404,3.551359,92.574231,1,2,0,0,1,66,0,0,1,1,1,1,1,1,0.941176,0.007175,0.992825,0.058824,?,0.941176,?,?,0.988325,0.951462,?,0.941176,0.001,0,0,0,0,0,59044,202557,29158,97.058824,8.436533,'Number of leaves: 60\nSize of the tree: 93\n',93,60,60
