id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
ec5138771a684063759b3edb563e55b8,Link Group,100.0,Warszawa,Mobile,senior,20000.0,26000.0,,
c6023e9dc0cfed41af9c21ecc277a27c,Link Group,100.0,Kraków,Java,senior,,,21840.0,29400.0
eb6531cc1d1695903cb1b4febb8e6e8b,Link Group,100.0,Warszawa,C#,senior,27000.0,33000.0,,
32e852468a767874be261cec34ccc318,Link Group,100.0,Warszawa,JavaScript,mid,24000.0,28000.0,24000.0,28000.0
2721ba7222a77553ef7a640aa90661fd,Link Group,100.0,Warszawa,Java,mid,,,18480.0,22680.0
8e007fcc592a2334d4228341cd1a60c3,Link Group,100.0,Remote,C/C++,senior,28000.0,35000.0,28000.0,35000.0
7e9105f8b1a8b1c1b2b17655cb2b8eb4,Link Group,100.0,Warszawa,C/C++,senior,28000.0,35000.0,28000.0,35000.0
a996a1e781b1f29d035f4948e6504291,Link Group,100.0,Warszawa,Java,senior,,,28560.0,31920.0
166fc4f1b10dd7c670dcf183bc90ff25,Link Group,100.0,Warszawa,JavaScript,senior,22000.0,26000.0,,
163800fe63da562057914658fe26d21d,Link Group,100.0,Remote,Python,senior,,,23520.0,28560.0
84bc517871f12f9f171115cef939512d,Link Group,100.0,Warszawa,Python,senior,,,23520.0,28560.0
614921b85d4f6f82c746dcbb399092bf,Link Group,100.0,Kraków,Python,senior,24000.0,28000.0,,
9e3862ebe2d098597de1c6aaa1b95891,Link Group,100.0,Remote,Python,senior,,,33600.0,42000.0
c2bac4dbb3ade62d57934977ce384bae,Link Group,100.0,Warszawa,Python,senior,,,33600.0,42000.0
ebb9e19679f5e32daa3cb7b5cc2bcc3f,Link Group,100.0,Wrocław,Python,senior,,,33600.0,42000.0
6ba0cb61977102fc581c36eb3774039e,Link Group,100.0,Gdańsk,Python,senior,,,33600.0,42000.0
0e3b6fbb4d4bdfa528859b0f40dddf9a,Link Group,100.0,Kraków,Python,senior,,,33600.0,42000.0
9e374372db3a88a2b08d148906f9a9b6,Link Group,100.0,Warszawa,C#,senior,10000.0,17000.0,,
5c63ed0411c2d1fab0ce486c9e843864,Link Group,100.0,Warszawa,C#,senior,,,20160.0,24360.0
2faea3fd67ff3057c866a993d66d1d82,Link Group,100.0,Warszawa,C/C++,senior,,,16800.0,25200.0
fe32586610c0da5f2a52afb86f7fc098,Ework Group,10.0,Warszawa,Python,mid,,,23520.0,27720.0
3d94ec684bcf83095edb0f9a70dc4600,Ework Group,10.0,Gdańsk,Python,mid,,,23520.0,27720.0
184ac4e1ec9f3f1fa22863d7a99bbf19,Ework Group,10.0,Łódź,Python,mid,,,23520.0,27720.0
83ca96509370b0322ca7729f015fbc58,Ework Group,10.0,Warszawa,JavaScript,senior,,,25200.0,30240.0
e40b06d88c66264910fddced5f055241,Ework Group,10.0,Warszawa,Java,senior,,,25200.0,28560.0
cea12f8d8a61c8f647090c1066c0c5f2,Mindbox,100.0,Warszawa,Java,senior,,,23100.0,33600.0
1fcfc2095449f19cba53cec28c82f90f,Mindbox,100.0,Kraków,Java,senior,,,23100.0,33600.0
f9ffb1777217bdc39acc020c8b5c2080,Mindbox,100.0,Warszawa,Java,senior,,,29400.0,33600.0
