id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
b522884c0cc4c7534cc7a1c80dc34e01,Link Group,100.0,Kraków,Python,senior,24000.0,28000.0,,
d4207c752c9dd379f576b9ca1c758ae5,Link Group,100.0,Warszawa,Mobile,senior,20000.0,26000.0,,
485829a76c1ac14733249b7c8dd6f1b3,Link Group,100.0,Wrocław,Python,mid,13000.0,20000.0,13000.0,20000.0
47da061f9b60abd5c7a4285e65838b90,Link Group,100.0,Warszawa,C#,mid,,,20160.0,23520.0
c71a09adb5690ed31916a58d79cc1b52,Link Group,100.0,Poznań,JavaScript,mid,,,16800.0,21840.0
f49ddd73b532c185710e0dbe12ddb5fd,Link Group,100.0,Warszawa,C#,mid,,,20000.0,23000.0
0ea54b44cce0cf27d92b049609f0ef73,Link Group,100.0,Kraków,Java,senior,,,26000.0,29000.0
1791f25015acdded347a759048d751d8,Link Group,100.0,Warszawa,JavaScript,senior,22000.0,26000.0,,
e43cc0cd82dbb3e246db839f0b3295c1,Link Group,100.0,Poznań,PHP,mid,,,16800.0,21800.0
163800fe63da562057914658fe26d21d,Link Group,100.0,Remote,Python,senior,,,23520.0,28560.0
84bc517871f12f9f171115cef939512d,Link Group,100.0,Warszawa,Python,senior,,,23520.0,28560.0
b3b252e74e97607f534cfb70c3a2db81,Link Group,100.0,Kraków,JavaScript,senior,20000.0,30000.0,,
2d23d60a8d67194e6fb90e78f3803b79,Link Group,100.0,Warszawa,C#,senior,20000.0,26000.0,,
78eb33077c00998a6463efd118b81047,Link Group,100.0,Warszawa,Java,senior,15000.0,25000.0,,
035ffb02c917d7d8c4e1f5d2da18dce8,Reply Polska,10000.0,Katowice,Java,senior,16000.0,22000.0,26880.0,33600.0
60a80f0c3ac297104c35b6adfd238e26,Reply Polska,10000.0,Katowice,JavaScript,mid,9000.0,18000.0,,
dd8c711b161eb2df0e4196e4e12ec149,Reply Polska,10000.0,Katowice,C#,senior,13000.0,22000.0,20160.0,33600.0
bafed1b220e18a349377610cad89675f,Reply Polska,10000.0,Katowice,Python,senior,16000.0,22000.0,,
1bc39cbbde4905cc14f56da324570551,Reply Polska,10000.0,Katowice,Python,mid,9000.0,16000.0,,
b804afd08ba564908d60f4db7d5c500e,Reply Polska,10000.0,Katowice,Java,expert,16000.0,22000.0,23184.0,29400.0
86435611d81f174512169b1338725671,Reply Polska,10000.0,Katowice,Java,mid,9000.0,16000.0,,
0819ad81f78f5a5309048a85d573452f,Reply Polska,10000.0,Katowice,Java,senior,13000.0,22000.0,20160.0,33600.0
10bfdb1064f97d63498cd7ad674d37e8,Reply Polska,10000.0,Katowice,Java,junior,5000.0,9000.0,,
cea12f8d8a61c8f647090c1066c0c5f2,Mindbox,100.0,Warszawa,Java,senior,,,23100.0,33600.0
1fcfc2095449f19cba53cec28c82f90f,Mindbox,100.0,Kraków,Java,senior,,,23100.0,33600.0
d784e68e7fc8f8635351cc3dea9c484b,Mindbox,100.0,Warszawa,Java,senior,,,31500.0,35700.0
c73ac40e3568875c9cf845f5874158d4,Mindbox,100.0,Warszawa,Java,mid,,,23100.0,29400.0
d5ef9a4eb65f147b49eb40177e70d2ba,Mindbox,100.0,Gdańsk,Java,mid,,,23100.0,29400.0
1c601b197707022cc72cda51522dd3ed,Mindbox,100.0,Kraków,Java,mid,,,23100.0,29400.0
f66f62dbe03a9d2445cd92e39df79600,Mindbox,100.0,Katowice,Java,mid,,,23100.0,29400.0
5eb437a2338003f1d9e9c886d427465c,Mindbox,100.0,Warszawa,Java,senior,,,27300.0,37800.0
65c01a304698877a875879369bb2fcae,Ework Group,10.0,Remote,Scala,senior,,,28560.0,31920.0
905773eb698145022a7a4a0216890fd1,Ework Group,10.0,Warszawa,Scala,senior,,,28560.0,31920.0
1d51ed4fcc736d2983e3202f3db7d4f6,Ework Group,10.0,Warszawa,C#,mid,,,18133.0,26112.0
5732d82ede26d1adf5af88421ae697c8,Ework Group,10.0,Gdańsk,JavaScript,senior,,,33600.0,35280.0
fe32586610c0da5f2a52afb86f7fc098,Ework Group,10.0,Warszawa,Python,mid,,,23520.0,27720.0
3d94ec684bcf83095edb0f9a70dc4600,Ework Group,10.0,Gdańsk,Python,mid,,,23520.0,27720.0
184ac4e1ec9f3f1fa22863d7a99bbf19,Ework Group,10.0,Łódź,Python,mid,,,23520.0,27720.0
8e09354d3fd7f4bbcaea1f248114d14c,Ework Group,10.0,Remote,C#,mid,,,21761.0,26112.0
e28381b0a4aca0da48c29090d4621699,Ework Group,10.0,Warszawa,C#,mid,,,21761.0,26112.0
495531122ed77b692a532db0a4fa87bb,Ework Group,10.0,Gdańsk,JavaScript,senior,,,19200.0,21600.0
722714836bb01d56980eb9d4061a87b4,Sii Poland,10000.0,Remote,Golang,mid,10000.0,16000.0,17850.0,26250.0
e4ce89bd2077578f4f11f8f55e928766,Sii Poland,10000.0,Wrocław,Golang,mid,10000.0,16000.0,17850.0,26250.0
ba4c3273a62f640469c44374a9aa6e15,Sii Poland,10000.0,Gdańsk,Golang,mid,10000.0,16000.0,17850.0,26250.0
8fdb777ca0164dc167b4f3f8ab181a6d,Sii Poland,10000.0,Warszawa,Golang,mid,10000.0,16000.0,17850.0,26250.0
b04b1f4977d999effd0d668411f95aaa,Sii Poland,10000.0,Katowice,Golang,mid,10000.0,16000.0,17850.0,26250.0
2c84712ca53385d06b3da0e070a0f028,Sii Poland,10000.0,Kraków,Golang,mid,10000.0,16000.0,17850.0,26250.0
d7e8a201cd41f9ee39922774b92e6458,Sii Poland,10000.0,Łódź,Golang,mid,10000.0,16000.0,17850.0,26250.0
2399f5ee93a0837b8877f1989022054a,Sii Poland,10000.0,Poznań,Golang,mid,10000.0,16000.0,17850.0,26250.0
6eab23fb656355c6f9501698147718ab,Sii Poland,10000.0,Remote,C/C++,senior,15000.0,20000.0,20000.0,28000.0
7e53a31aa42b807285c13ff9dcd1cc42,Sii Poland,10000.0,Wrocław,C/C++,senior,15000.0,20000.0,20000.0,28000.0
bdba5844cda5a3bfefb8f7877246fa72,Sii Poland,10000.0,Gdańsk,C/C++,senior,15000.0,20000.0,20000.0,28000.0
b8936bb5a844225b77654746b7e145e3,Sii Poland,10000.0,Katowice,C/C++,senior,15000.0,20000.0,20000.0,28000.0
054731ae6a9e018447f3bb1a206ac66d,Sii Poland,10000.0,Kraków,C/C++,senior,15000.0,20000.0,20000.0,28000.0
d6e81ec38c0acc82c66aae10ff255fec,Sii Poland,10000.0,Łódź,C/C++,senior,15000.0,20000.0,20000.0,28000.0
3a3086e2e146d15c1908d63a2621ef8b,Sii Poland,10000.0,Poznań,C/C++,senior,15000.0,20000.0,20000.0,28000.0
67f593b9caa9699ec35d942c95108936,Sii Poland,10000.0,Warszawa,C/C++,senior,15000.0,20000.0,20000.0,28000.0
34c0daf5fee790808ed3a7a5844e4160,Sii Poland,10000.0,Łódź,Scala,mid,,,15000.0,23000.0
6133c747485fd48df6dec05b122900ae,Sii Poland,10000.0,Gdańsk,Scala,mid,,,15000.0,23000.0
9959725afbd3bc633b01baf1c80ce511,Sii Poland,10000.0,Warszawa,Scala,mid,,,15000.0,23000.0
24caf8df5d5688ca4a8320327dbf79f2,Sii Poland,10000.0,Warszawa,Python,mid,12000.0,15000.0,16800.0,24150.0
2b75e00ab50bf66af6694a1afc913f75,Sii Poland,10000.0,Gdańsk,Java,senior,14000.0,18000.0,21000.0,29400.0
e65cd24319b76ace07ba67da52fc1e9a,Sii Poland,10000.0,Wrocław,Java,senior,14000.0,18000.0,21000.0,29400.0
3ec7daba74ef277d21e30cf49d495c5c,Sii Poland,10000.0,Katowice,Java,senior,14000.0,18000.0,21000.0,29400.0
9a9a18d18d1ba64ae6994591c4c22aa2,Sii Poland,10000.0,Kraków,Java,senior,14000.0,18000.0,21000.0,29400.0
9d3a188dc093e4a63b27b8d58e6a9565,Sii Poland,10000.0,Łódź,Java,senior,14000.0,18000.0,21000.0,29400.0
39bee476ad7a17f4d4eb9b4d674f91a6,Sii Poland,10000.0,Poznań,Java,senior,14000.0,18000.0,21000.0,29400.0
