id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
f76148e72433f34bbdfb2275dde642fa,Avenga,1000.0,Warszawa,JavaScript,senior,,,23520.0,28560.0
0e3a65d9acd2447c1735e1bf3a7a0156,Avenga,1000.0,Remote,Java,senior,,,23520.0,26880.0
f08ca2e123734a770c60f1804d6b1785,Avenga,1000.0,Warszawa,Java,senior,,,22680.0,24360.0
eea9523cfae63709249117c805d18254,Avenga,1000.0,Remote,Mobile,senior,,,26880.0,28560.0
78b0d10cb905d839b4619bcfff716892,Avenga,1000.0,Remote,JavaScript,senior,,,21840.0,26880.0
902c07324ae761d87e4ee41c12d5162c,Avenga,1000.0,Warszawa,JavaScript,senior,,,28560.0,33600.0
aaaaa43c3712227fcfacc5f53e4ee65f,Avenga,1000.0,Remote,JavaScript,mid,15500.0,18500.0,20160.0,24360.0
029f6260e1b20b59ae4582d44156d8b1,Avenga,1000.0,Wrocław,Java,mid,,,18480.0,21000.0
e7f10285ad69216a9fa1f959ca179666,Avenga,1000.0,Warszawa,Java,senior,,,25200.0,31920.0
32343d448dc1ad73ee0ebdd6bc1b21d9,Avenga,1000.0,Warszawa,Java,senior,20500.0,23000.0,26880.0,30240.0
64d8a5c561f48104640142791c641466,Avenga,1000.0,Wrocław,JavaScript,mid,,,19000.0,21000.0
7e876a287c5fbd1f4687fa2302237200,Avenga,1000.0,Remote,Java,junior,,,10920.0,13440.0
0142cd408143aadff64fc7fdc3431134,Avenga,1000.0,Warszawa,Python,senior,,,20160.0,23520.0
c2622ab9227761e85ce2d8a29c0e0526,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,30240.0
15fa05f043c14fc8217544960dfb4398,Avenga,1000.0,Warszawa,Java,mid,,,18480.0,24360.0
2f150ed5b609f884ae6a022dee8a816d,Avenga,1000.0,Remote,Java,senior,,,28560.0,31920.0
390c464fabf430f12f752fa9dd509e69,Avenga,1000.0,Kraków,Java,senior,16500.0,21000.0,21840.0,27720.0
18c02731e9a3ff775efec8421f1db6f0,Avenga,1000.0,Remote,Java,mid,,,18480.0,22680.0
a448e9fc932a574c1ba685c8d4d5a28f,Avenga,1000.0,Warszawa,JavaScript,senior,,,25200.0,30240.0
3280c7a741bf6fc802031a137b7acecd,Avenga,1000.0,Łódź,JavaScript,mid,,,20160.0,23520.0
99dc8964090382e007330d17ca4aa6a5,Link Group,100.0,Remote,C/C++,mid,,,16800.0,20160.0
b6bdb75127daeb9ae4309edcce97f0eb,Link Group,100.0,Kraków,C/C++,mid,7000.0,13000.0,,
2007c9732dfdca3886159998df9fe690,Link Group,100.0,Warszawa,C#,senior,,,30000.0,40000.0
d8fccc479de7039201050b21f077db8a,Link Group,100.0,Katowice,C#,senior,,,30000.0,40000.0
677f9dcf2a3b0e484410df669b31db96,Link Group,100.0,Kraków,C#,senior,,,30000.0,40000.0
9fe5fe24ff5e6260ed3ce8eefbe39000,Link Group,100.0,Gdańsk,C#,senior,,,30000.0,40000.0
a1be0d3dadba26f2c7c5eae9791142ec,Link Group,100.0,Wrocław,C#,senior,,,30000.0,40000.0
8137d9d1566383aee159c31f5a3520a4,Link Group,100.0,Kraków,C#,senior,,,23520.0,28560.0
503a0219043c27566c5f94fcdb1bec37,Link Group,100.0,Remote,Java,mid,,,16800.0,20160.0
98e97a889b2775a74b26a9685bf68784,Link Group,100.0,Warszawa,Python,senior,20000.0,30000.0,,
9bb10a4f476a6c732424567d96ee1ae0,Link Group,100.0,Kraków,Python,senior,23000.0,28000.0,,
3973890d3b29c80feab9f8ff792a8947,Link Group,100.0,Kraków,JavaScript,senior,,,26880.0,35280.0
4481506a0305b3de64817c1a7fa8468f,Link Group,100.0,Warszawa,JavaScript,senior,25000.0,35000.0,25000.0,35000.0
aeb8703dc43f9d2dc7ed1494e69257b7,Link Group,100.0,Kraków,JavaScript,senior,25000.0,35000.0,25000.0,35000.0
95ef70e3ae1bc50b270360712b54e841,Link Group,100.0,Gdańsk,JavaScript,senior,25000.0,35000.0,25000.0,35000.0
a4f424997968479f1cbba139a1f814ae,Link Group,100.0,Wrocław,JavaScript,senior,25000.0,35000.0,25000.0,35000.0
36d3bb39880919e31382737d95efabe6,Link Group,100.0,Katowice,JavaScript,senior,25000.0,35000.0,25000.0,35000.0
43f4e1da2cdf6976e5634f2f07c59390,Link Group,100.0,Warszawa,Scala,mid,18000.0,23000.0,20000.0,25000.0
58aab8a849bd3dbb2bcce42bce358994,Link Group,100.0,Gdańsk,Java,junior,,,6720.0,10920.0
0d4a10b864750a8917b7a0b91703f1a4,Link Group,100.0,Warszawa,Python,senior,35000.0,40000.0,35000.0,40000.0
f28ab10fb1b24ceec46d07a566e9eef9,Link Group,100.0,Kraków,C/C++,mid,,,15000.0,23000.0
