id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
cfc232ecc8fcc89d430b30829ab54eab,Avenga,1000.0,Warszawa,Java,senior,,,28560.0,35280.0
f4b1aca112a292fe088142409ea28b37,Avenga,1000.0,Wrocław,Java,mid,14500.0,17200.0,20160.0,22680.0
0e3a65d9acd2447c1735e1bf3a7a0156,Avenga,1000.0,Remote,Java,senior,,,23520.0,26880.0
cbb538b6b03aa6daf810ac1910c941c9,Avenga,1000.0,Remote,JavaScript,senior,,,25200.0,30240.0
5e7068a7fe2b042d5234dde1b6b759ef,Avenga,1000.0,Warszawa,C#,mid,,,18480.0,23520.0
f08ca2e123734a770c60f1804d6b1785,Avenga,1000.0,Warszawa,Java,senior,,,22680.0,24360.0
a01490b3e0cb397f50d7a9dba96a8695,Avenga,1000.0,Warszawa,JavaScript,senior,,,26880.0,35280.0
eea9523cfae63709249117c805d18254,Avenga,1000.0,Remote,Mobile,senior,,,26880.0,28560.0
15fa05f043c14fc8217544960dfb4398,Avenga,1000.0,Warszawa,Java,mid,,,18480.0,24360.0
2f150ed5b609f884ae6a022dee8a816d,Avenga,1000.0,Remote,Java,senior,,,28560.0,31920.0
e3d35d124cbd69cac6117be68c034fa3,Avenga,1000.0,Warszawa,JavaScript,senior,,,20160.0,24360.0
32343d448dc1ad73ee0ebdd6bc1b21d9,Avenga,1000.0,Warszawa,Java,mid,,,21840.0,24360.0
0099bc14ba9bf1f5cc0f763b6373936c,Avenga,1000.0,Remote,JavaScript,mid,,,21000.0,23520.0
1ccac090981c078808357de1b071a9ee,Avenga,1000.0,Remote,Python,mid,,,21840.0,23520.0
5bd3533c835992a3eaf5c3936148c688,Avenga,1000.0,Warszawa,C#,senior,,,26880.0,28560.0
a5adda4e41aed32a1b405cd85dd60c94,Avenga,1000.0,Kraków,C#,senior,,,26880.0,28560.0
5ee327272ad5aa7c28c6717879d50ab4,Avenga,1000.0,Remote,C#,mid,,,25200.0,28560.0
5c90a312f150461147fac703c6577765,Avenga,1000.0,Remote,Java,senior,,,30240.0,35280.0
