id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
5e7068a7fe2b042d5234dde1b6b759ef,Avenga,1000.0,Warszawa,C#,mid,,,18480.0,23520.0
5aeee786998e50bdf63a0a35da8e2bd3,Avenga,1000.0,Warszawa,Mobile,senior,,,28560.0,30240.0
57856f8adedf16030ff191547f736e50,Avenga,1000.0,Gdańsk,Python,senior,15500.0,18000.0,20160.0,23520.0
90a2b8ceb1c70abbe5080e50ca888813,Avenga,1000.0,Warszawa,Python,senior,15500.0,18000.0,20160.0,23520.0
902c07324ae761d87e4ee41c12d5162c,Avenga,1000.0,Warszawa,JavaScript,senior,,,28560.0,33600.0
a67f06f61b88cd685190e0669a1f2099,Avenga,1000.0,Remote,Java,mid,,,20160.0,23520.0
1df4329050b1a0aad83b9b43b23d8c89,Avenga,1000.0,Remote,Python,mid,,,19800.0,21800.0
0e3a65d9acd2447c1735e1bf3a7a0156,Avenga,1000.0,Remote,Java,senior,,,25200.0,28560.0
fee45dc2d6047efe865c6a9b8cf9e470,Avenga,1000.0,Warszawa,Java,mid,,,23520.0,29400.0
9877abae61c5393d36f320a3017663a7,Avenga,1000.0,Remote,Python,senior,,,26880.0,28560.0
3ce0769bb64fafea6693e1bb15d15c93,Avenga,1000.0,Gdańsk,Java,senior,15000.0,18000.0,20160.0,23520.0
5d18e60e3c04a21eed981c7bd82308f5,Avenga,1000.0,Warszawa,Java,senior,15000.0,18000.0,20160.0,23520.0
28e5273367da7efdae0a1ea4b815e3c6,Avenga,1000.0,Warszawa,C#,mid,,,21840.0,25200.0
b1001154fc194f29aed51d48e7a1ba5b,Avenga,1000.0,Warszawa,Java,senior,,,26880.0,31920.0
88b0d38a8218c0afccce18e41dfc39b6,Avenga,1000.0,Remote,JavaScript,senior,,,23520.0,26880.0
80e02b5d205efd88900cd144fdbeacc2,Avenga,1000.0,Kraków,Java,mid,,,21840.0,23520.0
158396e308e9d3616da3e93e921fadb5,Avenga,1000.0,Remote,C/C++,senior,,,25200.0,26880.0
2f150ed5b609f884ae6a022dee8a816d,Avenga,1000.0,Remote,Java,senior,,,28560.0,31920.0
e1b072ce7c9425edcb6690c20825742a,Avenga,1000.0,Remote,JavaScript,mid,,,21840.0,25200.0
fe380b7d560b6afcc9fa43975735f79a,Avenga,1000.0,Warszawa,Mobile,mid,,,21800.0,28500.0
ce70b00802726c2b6375c795b7ee640b,Avenga,1000.0,Warszawa,Python,mid,,,20160.0,23520.0
009c1480d228383cc8380581b871248b,Avenga,1000.0,Remote,C#,senior,,,23520.0,26040.0
be3b30893329f82745cef5aafee51f99,Link Group,100.0,Warszawa,Python,mid,,,25000.0,28500.0
58a43119164776f69d5340f547c28c7b,Link Group,100.0,Gdańsk,Python,mid,,,25000.0,28500.0
a7337448fddb41b10e8decc78b1de606,Link Group,100.0,Kraków,Python,mid,,,25000.0,28500.0
8305b125e73de516cc5f5b8fb5c30181,Link Group,100.0,Wrocław,Python,mid,,,25000.0,28500.0
66fadee0dfab257a19d7767922e5d8ca,Link Group,100.0,Remote,Python,senior,,,23520.0,28560.0
8ec40e7ad4caef27dc70e689d5752d42,Link Group,100.0,Remote,Python,expert,22000.0,25000.0,,
e3356bf01f4b79cb43b4d0f2330fa5d9,Link Group,100.0,Warszawa,Java,senior,34000.0,40000.0,34000.0,40000.0
37b86aff6ba6f34c7699721be0cc3219,Link Group,100.0,Remote,C#,senior,27000.0,33000.0,28000.0,35000.0
8b2b7705f6026a2c09ce9ebee5213bae,Link Group,100.0,Warszawa,C#,senior,32000.0,38000.0,32000.0,38000.0
2baa573791be5c602c9a8905168d5c9f,Link Group,100.0,Remote,C#,mid,15000.0,20000.0,15000.0,20000.0
dca19424927a7db7d470e69ec29bc05a,Link Group,100.0,Kraków,C/C++,senior,20000.0,25000.0,20160.0,25200.0
3ccd375b74b16a26b3589ba09d1ed999,Link Group,100.0,Remote,Python,mid,,,15120.0,18480.0
7679de6b7b63703e231f8c61684d94bb,Link Group,100.0,Remote,C/C++,senior,,,22680.0,26880.0
58aab8a849bd3dbb2bcce42bce358994,Link Group,100.0,Gdańsk,Java,junior,,,6720.0,10920.0
618fda6b729c564e9afa2b90dbaa3037,Link Group,100.0,Remote,JavaScript,senior,,,20160.0,26880.0
b986b2cce3e8ae033e9670c946e49731,Link Group,100.0,Warszawa,Python,senior,30000.0,35000.0,30000.0,35000.0
246526cffa0f22199f7cd84d47495091,Link Group,100.0,Warszawa,Java,mid,,,16800.0,20160.0
76a7ea7f2c7d8cac29866c5184ffe7a5,Link Group,100.0,Warszawa,C#,senior,35000.0,42000.0,,
11d204a9636c6867a094cca27ed9382b,Link Group,100.0,Warszawa,C#,senior,20000.0,25000.0,,
6dd1bb95fbef245ab7fcfe9d3ec2eb84,Link Group,100.0,Warszawa,JavaScript,mid,,,16800.0,23520.0
e58723a605285967c09aae2abee80d1d,Link Group,100.0,Remote,Java,mid,,,16800.0,21840.0
da7838a6852b96f9c3cd95bdc97072a1,Link Group,100.0,Remote,JavaScript,senior,,,16800.0,26040.0
