company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max,year,month
Sii Poland,10000.0,Remote,C/C++,senior,13000.0,18500.0,16800.0,22050.0,2023,09
Sii Poland,10000.0,Remote,Java,mid,15000.0,18500.0,21000.0,26250.0,2023,09
Sii Poland,10000.0,Kraków,Java,mid,,,14700.0,29400.0,2023,09
Sii Poland,10000.0,Remote,Java,mid,9000.0,18000.0,14700.0,29400.0,2023,09
HSBC Technology Poland,1000.0,Kraków,Java,senior,15000.0,22000.0,,,2023,09
HSBC Technology Poland,1000.0,Remote,Java,senior,20000.0,23000.0,,,2023,09
HSBC Technology Poland,1000.0,Kraków,Mobile,senior,27000.0,30000.0,,,2023,09
HSBC Technology Poland,1000.0,Kraków,Scala,senior,18000.0,25000.0,,,2023,09
Box,1000.0,Warszawa,Java,senior,30000.0,35000.0,,,2023,09
Mindbox,100.0,Warszawa,Java,senior,,,29400.0,35700.0,2023,09
Mindbox,100.0,Warszawa,Java,expert,,,33600.0,42000.0,2023,09
Mindbox,100.0,Warszawa,Java,senior,,,27300.0,33600.0,2023,09
Mindbox,100.0,Kraków,Java,senior,,,25200.0,35700.0,2023,09
Mindbox,100.0,Warszawa,JavaScript,senior,,,27300.0,33600.0,2023,09
Mindbox,100.0,Remote,Java,senior,,,27300.0,33600.0,2023,09
Objectivity - part of Accenture,1000.0,Remote,JavaScript,mid,10000.0,17500.0,15960.0,26880.0,2023,09
Objectivity - part of Accenture,1000.0,Remote,C#,mid,10000.0,14000.0,15960.0,21840.0,2023,09
Objectivity - part of Accenture,1000.0,Remote,C#,senior,12500.0,18000.0,20160.0,27720.0,2023,09
Objectivity - part of Accenture,1000.0,Remote,Java,mid,10000.0,17500.0,15960.0,26880.0,2023,09
Hitachi Energy,10000.0,Kraków,C#,mid,20000.0,28000.0,,,2023,09
Hitachi Energy,10000.0,Kraków,JavaScript,mid,15000.0,22000.0,,,2023,09
Hitachi Energy,10000.0,Kraków,JavaScript,mid,12000.0,23000.0,,,2023,09
Hitachi Energy,10000.0,Kraków,C#,mid,15000.0,18000.0,,,2023,09
Hitachi Energy,10000.0,Kraków,C#,senior,15000.0,18000.0,,,2023,09
Antal Poland,100.0,Warszawa,C/C++,mid,16000.0,20000.0,,,2023,09
Antal Poland,100.0,Katowice,Java,senior,20000.0,24000.0,,,2023,09
Antal Poland,100.0,Kraków,Java,mid,22000.0,25000.0,22000.0,25000.0,2023,09
Antal Poland,100.0,Kraków,C/C++,mid,22000.0,25000.0,22000.0,25000.0,2023,09
Antal Poland,100.0,Kraków,C/C++,mid,17000.0,25000.0,17000.0,25000.0,2023,09
Antal Poland,100.0,Remote,Java,senior,,,25200.0,33600.0,2023,09
EPAM Systems,10000.0,Warszawa,Java,senior,14000.0,24000.0,,,2023,09
EPAM Systems,10000.0,Wrocław,Java,senior,14000.0,24000.0,,,2023,09
EPAM Systems,10000.0,Gdańsk,Java,senior,14000.0,24000.0,,,2023,09
EPAM Systems,10000.0,Kraków,Java,senior,14000.0,24000.0,,,2023,09
EPAM Systems,10000.0,Remote,Python,senior,21500.0,26000.0,24100.0,28600.0,2023,09
EPAM Systems,10000.0,Remote,Java,senior,14000.0,24000.0,,,2023,09
Mobica,1000.0,Warszawa,C/C++,mid,,,10800.0,20328.0,2023,09
Mobica,1000.0,Remote,Mobile,senior,19500.0,25000.0,24360.0,35448.0,2023,09
Mobica,1000.0,Warszawa,Mobile,senior,19500.0,25000.0,24360.0,35448.0,2023,09
Mobica,1000.0,Łódź,Mobile,senior,19500.0,25000.0,24360.0,35448.0,2023,09
Mobica,1000.0,Warszawa,C/C++,senior,,,20328.0,31750.0,2023,09
Reply Polska,10000.0,Katowice,Java,junior,5000.0,9000.0,,,2023,09
Spyrosoft,1000.0,Wrocław,C/C++,senior,16650.0,21600.0,22680.0,29400.0,2023,09
Spyrosoft,1000.0,Warszawa,C/C++,senior,16650.0,21600.0,22680.0,29400.0,2023,09
Spyrosoft,1000.0,Kraków,C/C++,senior,16650.0,21600.0,22680.0,29400.0,2023,09
Spyrosoft,1000.0,Remote,Scala,senior,17250.0,21600.0,23520.0,29400.0,2023,09
Spyrosoft,1000.0,Remote,C#,senior,13500.0,21600.0,18480.0,29400.0,2023,09
Spyrosoft,1000.0,Remote,Java,expert,13550.0,21600.0,18480.0,29400.0,2023,09
Spyrosoft,1000.0,Remote,C#,expert,19700.0,24650.0,26880.0,33600.0,2023,09
Spyrosoft,1000.0,Remote,JavaScript,senior,13500.0,18500.0,18480.0,25200.0,2023,09
Centralny Ośrodek Informatyki,1000.0,Remote,Mobile,senior,15000.0,23000.0,,,2023,09
Centralny Ośrodek Informatyki,1000.0,Remote,Python,mid,14000.0,28000.0,,,2023,09
Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,C/C++,junior,6500.0,8500.0,,,2023,09
Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,JavaScript,mid,9000.0,18000.0,,,2023,09
Motorola Solutions Systems Polska Sp. z o.o.,1000.0,Kraków,C/C++,mid,11500.0,18000.0,,,2023,09
Sigma IT Poland,100.0,Remote,Python,senior,18000.0,22000.0,21840.0,26880.0,2023,09
Sigma IT Poland,100.0,Remote,Mobile,mid,17200.0,23400.0,21000.0,28560.0,2023,09
GetInData | Part of Xebia,100.0,Remote,Python,mid,,,18480.0,26880.0,2023,09
GetInData | Part of Xebia,100.0,Remote,Scala,senior,,,27720.0,33600.0,2023,09
GetInData | Part of Xebia,100.0,Remote,Python,senior,,,26880.0,33600.0,2023,09
GetInData | Part of Xebia,100.0,Remote,Python,expert,,,33600.0,40320.0,2023,09
HARMAN Connected Services,100.0,Remote,Mobile,senior,11000.0,17500.0,,,2023,09
HARMAN Connected Services,100.0,Remote,C/C++,senior,11000.0,17500.0,,,2023,09
HARMAN Connected Services,100.0,Remote,C#,senior,11000.0,17500.0,,,2023,09
HARMAN Connected Services,100.0,Remote,Mobile,expert,15000.0,25000.0,,,2023,09
ONWELO Sp. z o.o.,1000.0,Remote,Python,senior,14000.0,19000.0,21000.0,27300.0,2023,09
ONWELO Sp. z o.o.,1000.0,Remote,Python,mid,10000.0,14000.0,15750.0,21000.0,2023,09
ONWELO Sp. z o.o.,1000.0,Remote,Python,mid,10000.0,14000.0,14700.0,21000.0,2023,09
ONWELO Sp. z o.o.,1000.0,Remote,Python,senior,,,21000.0,25200.0,2023,09
SoftServe Poland,100.0,Remote,C/C++,mid,,,16000.0,20000.0,2023,09
SoftServe Poland,100.0,Wrocław,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Warszawa,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Gdańsk,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Poznań,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Katowice,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Kraków,Java,mid,,,14000.0,18000.0,2023,09
SoftServe Poland,100.0,Remote,Python,junior,7600.0,14100.0,6800.0,12700.0,2023,09
SoftServe Poland,100.0,Gdańsk,Java,senior,,,17000.0,25000.0,2023,09
SoftServe Poland,100.0,Wrocław,Java,senior,,,17000.0,25000.0,2023,09
